Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours
Sep-23,358136.2599,60005.6758,164466.3568,65559.71,16496.04043,28193.29153,22192.58066
Aug-23,423934.2574,78184.50094,199993.0422,69744.023,21145.86624,28504.16694,25350.26673
Jul-23,425611.3284,78909.85665,200506.7592,69887.588,21237.80849,27867.90946,26538.55725
Jun-23,356672.3849,57697.75156,161692.7028,64965.076,19470.63281,27505.93547,25034.48613
May-23,327532.6236,43852.22406,137795.2922,61472.883,27479.13413,32018.24592,24462.3751
Apr-23,299673.0993,40078.66802,120477.9842,56662.458,17481.3198,43017.20057,21501.94859
Mar-23,329838.8224,50067.28079,132152.688,62820.443,20227.59757,44527.11026,18130.90619
Feb-23,309116.3793,46487.92774,123920.7292,60806.857,18682.48569,42058.41902,13641.70172
Jan-23,347817.1455,61290.8751,137541.4208,70870.08,22288.30082,39166.5977,11963.78669
Dec-22,360256.7151,73380.89229,140715.5326,69094.147,20429.54086,38679.53194,10475.48995
Nov-22,321780.5598,56376.96293,127523.4363,62041.287,17898.14767,41198.8465,12437.95751
Oct-22,313949.3854,54228.45722,133491.5392,58945.383,14367.41841,32744.63415,16964.17077
Sep-22,351655.4,64998.31931,156947.8524,63733.186,17026.14725,27331.13356,18830.90672
Aug-22,412133.7617,85214.64958,188859.6344,68896.917,21132.94901,24718.4162,20697.2015
Jul-22,422975.6527,86414.97062,189042.1596,68856.919,24567.4546,29474.97824,22203.83016
Jun-22,379134.4769,73463.10379,155517.0049,65715.42,25987.79518,33767.53068,22282.06831
May-22,342184.4058,62531.74438,127093.5551,63381.62449,23358.77956,42123.69758,21356.56223
Apr-22,303994.0502,55329.13354,105505.8211,55289.54,20065.83638,46167.09477,19073.03688
Mar-22,324530.8509,61018.7735,112477.2522,63153.701,24436.41649,43030.54797,16815.69305
Feb-22,324311.0552,70966.37798,114945.4142,61852.177,21320.56822,37644.62607,12743.87856
Jan-22,373765.919,87588.22693,134947.5141,70576.875,24197.61344,37416.32051,11198.35638
Dec-21,337103.5609,60024.59585,127586.4301,70719.837,23561.87556,39849.02762,9061.0693
Nov-21,314309.5206,57426.34728,122433.2592,62749.318,19373.24966,35751.09063,11054.16073
Oct-21,320201.7781,62572.1427,131851.6815,58401.112,17132.93623,32215.11144,13088.99226
Sep-21,347743.7749,78876.84017,138214.4087,64520.031,17022.26652,28997.8029,15584.01297
Aug-21,412864.7675,101854.5988,172716.0052,69471.331,20328.14723,27071.12204,16891.19396
Jul-21,405624.0906,101536.5367,170189.3631,68831.593,22097.51226,21715.55151,17384.07738
Jun-21,373856.4776,87264.60172,149375.5555,66070.373,23454.07921,26671.53368,17303.9438
May-21,320180.9614,63872.72048,114675.7916,63394.115,23308.96396,33786.50791,17519.84666
Apr-21,293307.9444,53956.13351,107416.2679,57092.024,19388.82781,36157.80676,15502.04998
Mar-21,311397.2759,61903.96388,107018.7113,63708.238,21220.43408,39205.24802,13454.48883
Feb-21,323899.5289,87470.49993,111182.9149,62954.16,20136.50917,26715.50092,9269.54941
Jan-21,349209.7089,81239.77891,126529.5985,71732.463,24560.04066,30060.4714,8309.06463
Dec-20,344523.4128,78587.62866,127863.1722,69870.978,21507.84718,32010.64517,7580.39219
Nov-20,301402.9637,61182.18639,109810.7803,61759.977,20892.65917,33129.4051,8453.28574
Oct-20,313703.4388,59804.58904,131412.5789,59362.465,18810.4061,28822.66268,10395.32693
Sep-20,333493.0367,68406.74534,141397.455,65727.317,18678.80991,23185.97755,11453.82366
Aug-20,398535.5924,91145.41119,173644.417,68982.187,23283.5577,23029.3319,13513.9375
Jul-20,409871.26,89709.48262,181568.0636,69385.44,26741.77947,22866.19821,15015.04895
Jun-20,351967.1898,65283.16993,143055.4234,67205.083,27999.3837,30212.40523,13923.04582
May-20,304836.8258,46526.62632,117185.646,64337.97,29976.16051,28377.50536,13920.70376
Apr-20,279846.2138,40675.20198,110563.8151,59170.016,23194.35466,29752.22898,11736.47773
Mar-20,309869.6961,50730.62847,126186.5801,63997.21,23823.01748,29319.78293,9773.50166
Feb-20,319698.1063,56201.46779,128017.9285,65910.574,25868.06177,29110.49454,8184.13587
Jan-20,342019.1095,65139.75937,136083.78,74169.646,24497.85718,28121.41138,6771.41485
Dec-19,338536.1584,72580.73606,131973.4283,73073.575,21478.18136,26643.83983,5499.8331
Nov-19,315897.352,75549.33857,117958.726,64125.425,20217.59733,25184.35888,6591.54593
Oct-19,320517.6448,66777.23093,131113.378,62032.622,18305.81291,27624.5193,8925.99468
Sep-19,360759.5693,85706.69196,149938.1323,66063.58,18525.75999,24513.46786,10022.19806
Aug-19,401731.6546,94039.70636,175270.2476,71910.684,22578.66752,19978.03073,11487.90701
